season,team,games,wins,losses,win_pct,pts_for,pts_against,pt_diff,td_allowed,xpa_allowed,xpm_allowed,fga_allowed,fgm_allowed,safeties_allowed,td_allowed_pg,pts_allowed_pg
2011,New Mexico,12,1,11,0.083,144.0,500.0,-356.0,70.0,69.0,68.0,10.0,4.0,0.0,5.83,41.67
2011,New Mexico State,13,4,9,0.308,319.0,478.0,-159.0,65.0,62.0,59.0,16.0,9.0,1.0,5.0,36.77
2011,Texas Tech,12,5,7,0.417,406.0,471.0,-65.0,62.0,62.0,60.0,20.0,13.0,0.0,5.17,39.25
2011,Toledo,13,9,4,0.692,549.0,412.0,137.0,56.0,53.0,50.0,13.0,8.0,0.0,4.31,31.69
2011,Tulane,13,2,11,0.154,274.0,487.0,-213.0,62.0,60.0,58.0,20.0,19.0,0.0,4.77,37.46
2011,UAB,12,3,9,0.25,242.0,441.0,-199.0,58.0,58.0,58.0,17.0,11.0,1.0,4.83,36.75
2011,UCLA,14,6,8,0.429,323.0,439.0,-116.0,57.0,55.0,53.0,19.0,14.0,0.0,4.07,31.36
2011,Washington,13,7,6,0.538,434.0,467.0,-33.0,58.0,55.0,53.0,22.0,20.0,1.0,4.46,35.92
2012,Arizona,13,8,5,0.615,496.0,459.0,37.0,60.0,56.0,56.0,15.0,13.0,0.0,4.62,35.31
2012,Army,12,2,10,0.167,291.0,424.0,-133.0,56.0,55.0,55.0,13.0,11.0,0.0,4.67,35.33
2012,Baylor,13,8,5,0.615,578.0,484.0,94.0,65.0,64.0,64.0,13.0,10.0,0.0,5.0,37.23
2012,Central Michigan,13,7,6,0.538,375.0,421.0,-46.0,54.0,52.0,52.0,16.0,15.0,0.0,4.15,32.38
2012,Colorado,12,1,11,0.083,214.0,552.0,-338.0,73.0,71.0,67.0,18.0,15.0,0.0,6.08,46.0
2012,Duke,13,6,7,0.462,410.0,468.0,-58.0,60.0,58.0,57.0,24.0,17.0,0.0,4.62,36.0
2012,Eastern Michigan,12,2,10,0.167,256.0,451.0,-195.0,57.0,57.0,55.0,22.0,18.0,0.0,4.75,37.58
2012,Hawaii,12,3,9,0.25,254.0,428.0,-174.0,60.0,57.0,54.0,4.0,4.0,0.0,5.0,35.67
2012,Houston,12,5,7,0.417,389.0,432.0,-43.0,55.0,53.0,52.0,19.0,16.0,0.0,4.58,36.0
