game_id,season,week,game_type,gameday,home_team,away_team,num_snapshots,first_seen,last_seen,open_novig_home,close_novig_home,novig_move_home,open_spread_home,close_spread_home,spread_move,open_total,close_total,total_move,captured,has_spread_points
2025_13_SF_CLE,2025,13,REG,2025-11-30,CLE,SF,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.2712496150648845,0.326921679038868,0.0556720639739835,,,,,,,True,False
2025_13_HOU_IND,2025,13,REG,2025-11-30,IND,HOU,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.6464188522140387,0.6268843546103579,-0.019534497603680867,,,,,,,True,False
2025_13_NO_MIA,2025,13,REG,2025-11-30,MIA,NO,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.6417472511686684,0.6959674725839987,0.05422022141533034,,,,,,,True,False
2025_13_ATL_NYJ,2025,13,REG,2025-11-30,NYJ,ATL,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.5723156514085816,0.43113257205738736,-0.14118307935119428,,,,,,,True,False
2025_13_ARI_TB,2025,13,REG,2025-11-30,TB,ARI,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.701099011738943,0.6343561655841287,-0.0667428461548143,,,,,,,True,False
2025_13_JAX_TEN,2025,13,REG,2025-11-30,TEN,JAX,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.263994073784715,0.28608962195299953,0.022095548168284518,,,,,,,True,False
2025_13_MIN_SEA,2025,13,REG,2025-11-30,SEA,MIN,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.7535929249340995,0.8506354770947094,0.09704255216060997,,,,,,,True,False
2025_13_LV_LAC,2025,13,REG,2025-11-30,LAC,LV,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.778579156730702,0.8062436237751583,0.027664467044456353,,,,,,,True,False
2025_13_BUF_PIT,2025,13,REG,2025-11-30,PIT,BUF,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.355988776468992,0.382876683056838,0.026887906587845956,,,,,,,True,False
2025_13_DEN_WAS,2025,13,REG,2025-11-30,WAS,DEN,40.0,2025-11-18 20:19:34,2025-11-28 20:18:39,0.2804384993727922,0.30469725885371163,0.024258759480919434,,,,,,,True,False
2025_13_NYG_NE,2025,13,REG,2025-12-01,NE,NYG,44.0,2025-11-18 20:19:34,2025-12-01 13:29:42,0.7552275925259335,0.7544072295201582,-0.0008203630057753708,,,,,,,True,False
2025_14_DAL_DET,2025,14,REG,2025-12-04,DET,DAL,27.0,2025-11-25 20:20:30,2025-12-04 13:29:33,0.6923976068533813,0.6153412429130877,-0.07705636394029358,,,,,,,True,False
