retro_id,mlbam_id,bbref_id,name_first,name_last
andrm101,110270,andremi01,Mike,Andrews
andrn101,110271,andrena01,Nate,Andrews
andrp101,820702,,Pop,Andrews
andrr101,110272,andrero01,Rob,Andrews
andrs001,110262,andresh01,Shane,Andrews
andrs002,430644,andrast01,Steve,Andrade
andrs101,110273,andrest01,Stan,Andrews
andrw101,110277,andruwi01,Wiman,Andrus
andrw102,110274,andrewa01,Wally,Andrews
anduj001,110278,andujjo01,Joaquín,Andújar
andul001,110279,andujlu01,Luis,Andújar
andum001,609280,andujmi01,Miguel,Andújar
angen101,110280,angelno01,Norm,Angelini
anglj101,,,Jack,Angle
anglm001,518408,anglema01,Matt,Angle
anglt101,110281,angleto01,Tom,Angley
ankep101,110282,ankenpa01,Pat,Ankenman
ankir001,150449,ankieri01,Rick,Ankiel
annad001,542883,annade01,Dean,Anna
annaw901,,,Bill,Annan
annib101,110283,annisbi01,Bill,Annis
ansoc101,110284,ansonca01,Cap,Anson
anthe001,110285,anthoer01,Eric,Anthony
anthm901,,,Merle,Anthony
anthr001,701350,anthoro01,Roman,Anthony
antob101,110289,antonbi01,Bill,Antonello
antod001,542884,antoldu01,Dustin,Antolin
antoj101,110288,antonjo01,John,Antonelli
antoj102,110286,antoljo01,Joe,Antolick
antoj103,110287,antonjo02,Johnny,Antonelli
antom001,453327,antonma01,Matt,Antonelli
antot001,622088,antonte01,Tejay,Antone
aokin001,493114,aokino01,Nori,Aoki
aparl101,110290,aparilu01,Luis,Aparicio
apodb101,110291,apodabo01,Bob,Apodaca
aponl001,110292,apontlu01,Luis,Aponte
aponr801,506608,,Ricardo,Aponte
aposs001,665947,apostsh01,Sherten,Apostel
appem001,571446,appelma01,Mark,Appel
appik001,110293,appieke01,Kevin,Appier
apple101,110295,appleed01,Ed,Appleton
applf101,110294,applefr01,Fred,Applegate
appll101,110297,applilu01,Luke,Appling
applp101,110296,applepe01,Pete,Appleton
applr101,820695,applere01,Red,Applegate
aquia001,606157,aquinar01,Aristides,Aquino
aquig001,425628,aquingr01,Greg,Aquino
aquij001,593969,aquinja01,Jayson,Aquino
aquil001,110298,aquinlu01,Luis,Aquino
araga101,110299,aragoan01,Angel,Aragón
aragj101,110300,aragoja01,Jack,Aragón
aranj001,666018,arandjo01,Jonathan,Aranda
aranp101,820693,arangpe01,Pedro,Arango
aranv001,644364,aranovi01,Víctor,Arano
aratm901,,,Mark,Arata
araue001,542587,araujel01,Elvis,Araújo
arauj001,660620,arauzjo01,Jonathan,Araúz
araup001,606478,araujpe01,Pedro,Araújo
archc001,502042,archech01,Chris,Archer
archf101,110302,archefr01,Fred,Archer
archg101,110305,archige01,George,Archie
archj101,110304,archeji02,Jim,Archer
archj102,110303,archeji01,Jimmy,Archer
archl101,820691,,Luke,Archer
archm101,110301,archdma01,Maurice,Archdeacon
arcif001,516472,arciafr01,Francisco,Arcia
arcij101,110306,arciajo01,José,Arcia
arcio001,542455,arciaos01,Oswaldo,Arcia
arcio002,606115,arciaor01,Orlando,Arcia
arded101,110307,ardelda01,Dan,Ardell
ardir101,110308,ardizru01,Rugger,Ardizoia
ardnj101,110309,ardnejo01,Joe,Ardner
ardod001,150416,ardoida01,Danny,Ardoin
arelf101,110310,arellfr01,Frank,Arellanes
arenh101,820684,arenahi01,Hipolito,Arenas
arenj001,450317,arencjp01,J. P.,Arencibia
arenm101,820687,arencma01,Mario,Arencibia
